TempTMT [°C],-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
07:15-07:30,"1,5111","1,5112","1,5035","1,4931","1,4801","1,4645","1,4463","1,4256","1,4023","1,3765","1,1889","1,3176","1,2845","1,2490","1,2151","1,1785","1,1391","1,1014","1,0565","1,0089","0,9288","0,8515","0,7751","0,7006","0,6279","0,5571","0,4881","0,4209","0,3555","0,2919","0,2300","0,1711","0,1124","0,0429","0,0052"
07:30-07:45,"1,5080","1,5081","1,5005","1,4901","1,4771","1,4615","1,4434","1,4227","1,3995","1,3737","1,1865","1,3149","1,2819","1,2464","1,2126","1,1761","1,1368","1,0992","1,0543","1,0069","0,9270","0,8498","0,7735","0,6992","0,6267","0,5560","0,4871","0,4200","0,3548","0,2913","0,2296","0,1708","0,1122","0,0428","0,0052"
07:45-08:00,"1,5037","1,5038","1,4961","1,4858","1,4728","1,4573","1,4392","1,4186","1,3954","1,3697","1,1831","1,3111","1,2781","1,2428","1,2091","1,1727","1,1335","1,0960","1,0513","1,0040","0,9243","0,8473","0,7713","0,6971","0,6248","0,5544","0,4857","0,4188","0,3538","0,2904","0,2289","0,1703","0,1118","0,0427","0,0052"
08:00-08:15,"1,4966","1,4967","1,4890","1,4788","1,4659","1,4504","1,4324","1,4118","1,3888","1,3633","1,1775","1,3049","1,2721","1,2369","1,2034","1,1671","1,1281","1,0908","1,0463","0,9992","0,9199","0,8433","0,7677","0,6939","0,6219","0,5517","0,4834","0,4169","0,3521","0,2891","0,2278","0,1695","0,1113","0,0425","0,0051"
08:15-08:30,"1,4931","1,4933","1,4856","1,4754","1,4625","1,4471","1,4291","1,4086","1,3856","1,3602","1,1748","1,3019","1,2692","1,2341","1,2007","1,1645","1,1256","1,0883","1,0439","0,9970","0,9178","0,8414","0,7659","0,6923","0,6205","0,5505","0,4823","0,4159","0,3513","0,2884","0,2273","0,1691","0,1110","0,0424","0,0051"
08:30-08:45,"1,4942","1,4943","1,4867","1,4765","1,4636","1,4482","1,4302","1,4096","1,3866","1,3611","1,1757","1,3029","1,2701","1,2350","1,2015","1,1653","1,1264","1,0891","1,0447","0,9977","0,9185","0,8420","0,7665","0,6928","0,6209","0,5509","0,4826","0,4162","0,3515","0,2886","0,2275","0,1692","0,1111","0,0424","0,0051"
08:45-09:00,"1,4883","1,4884","1,4808","1,4706","1,4578","1,4424","1,4245","1,4040","1,3811","1,3557","1,1710","1,2977","1,2651","1,2301","1,1967","1,1607","1,1219","1,0848","1,0405","0,9937","0,9148","0,8386","0,7634","0,6900","0,6184","0,5487","0,4807","0,4145","0,3501","0,2875","0,2266","0,1685","0,1107","0,0422","0,0051"
09:00-09:15,"1,4885","1,4886","1,4810","1,4708","1,4580","1,4426","1,4247","1,4042","1,3813","1,3559","1,1711","1,2978","1,2652","1,2303","1,1969","1,1608","1,1220","1,0849","1,0407","0,9938","0,9149","0,8388","0,7635","0,6901","0,6185","0,5488","0,4808","0,4146","0,3502","0,2875","0,2266","0,1685","0,1107","0,0422","0,0051"
09:15-09:30,"1,4837","1,4838","1,4762","1,4660","1,4533","1,4379","1,4201","1,3997","1,3768","1,3515","1,1674","1,2937","1,2612","1,2263","1,1930","1,1571","1,1184","1,0814","1,0373","0,9906","0,9120","0,8361","0,7610","0,6879","0,6165","0,5470","0,4792","0,4133","0,3491","0,2866","0,2259","0,1680","0,1103","0,0421","0,0051"
09:30-09:45,"1,4724","1,4725","1,4650","1,4549","1,4422","1,4270","1,4092","1,3890","1,3663","1,3412","1,1585","1,2838","1,2515","1,2169","1,1839","1,1482","1,1099","1,0732","1,0294","0,9831","0,9050","0,8297","0,7552","0,6826","0,6118","0,5428","0,4756","0,4101","0,3464","0,2844","0,2241","0,1667","0,1095","0,0418","0,0051"
09:45-10:00,"1,4655","1,4656","1,4582","1,4481","1,4355","1,4204","1,4027","1,3826","1,3600","1,3350","1,1531","1,2778","1,2457","1,2113","1,1784","1,1429","1,1047","1,0682","1,0246","0,9785","0,9008","0,8258","0,7517","0,6795","0,6090","0,5403","0,4734","0,4082","0,3448","0,2831","0,2231","0,1659","0,1090","0,0416","0,0050"
10:00-10:15,"1,4566","1,4567","1,4493","1,4393","1,4268","1,4117","1,3942","1,3742","1,3517","1,3269","1,1461","1,2701","1,2382","1,2039","1,1713","1,1360","1,0980","1,0617","1,0184","0,9726","0,8953","0,8208","0,7472","0,6753","0,6053","0,5370","0,4705","0,4057","0,3427","0,2814","0,2217","0,1649","0,1083","0,0413","0,0050"
