gCO2/kwh;Date;Time
166.9758917;03.01.2022;07:00:00
171.2042092;03.01.2022;07:15:00
173.1172749;03.01.2022;07:30:00
180.3649402;03.01.2022;07:45:00
190.9852704;03.01.2022;08:00:00
198.325848;03.01.2022;08:15:00
200.1635459;03.01.2022;08:30:00
203.8724919;03.01.2022;08:45:00
207.6864738;03.01.2022;09:00:00
209.6184002;03.01.2022;09:15:00
212.9138194;03.01.2022;09:30:00
217.8979386;03.01.2022;09:45:00
217.4151626;03.01.2022;10:00:00
217.1003712;03.01.2022;10:15:00
218.0849175;03.01.2022;10:30:00
216.6593577;03.01.2022;10:45:00
216.4147609;03.01.2022;11:00:00
214.7272526;03.01.2022;11:15:00
212.7002079;03.01.2022;11:30:00
211.3428615;03.01.2022;11:45:00
210.7158876;03.01.2022;12:00:00
210.3383803;03.01.2022;12:15:00
211.6425143;03.01.2022;12:30:00
212.3965288;03.01.2022;12:45:00
214.6161705;03.01.2022;13:00:00
217.2811174;03.01.2022;13:15:00
219.3395712;03.01.2022;13:30:00
220.1196389;03.01.2022;13:45:00
223.8537541;03.01.2022;14:00:00
226.7451182;03.01.2022;14:15:00
229.7960417;03.01.2022;14:30:00
235.5131885;03.01.2022;14:45:00
244.0319367;03.01.2022;15:00:00
249.1380693;03.01.2022;15:15:00
252.0187993;03.01.2022;15:30:00
254.0039342;03.01.2022;15:45:00
258.1839575;03.01.2022;16:00:00
261.4642747;03.01.2022;16:15:00
262.5967737;03.01.2022;16:30:00
262.458546;03.01.2022;16:45:00
260.6192301;03.01.2022;17:00:00
262.1971394;03.01.2022;17:15:00
260.8511539;03.01.2022;17:30:00
260.8351445;03.01.2022;17:45:00
264.7361196;03.01.2022;18:00:00
266.087835;03.01.2022;18:15:00
264.9063802;03.01.2022;18:30:00
267.1214258;03.01.2022;18:45:00
270.808885;03.01.2022;19:00:00
273.3044373;03.01.2022;19:15:00
276.4426579;03.01.2022;19:30:00
281.0310472;03.01.2022;19:45:00
283.4135744;03.01.2022;20:00:00
290.9015811;03.01.2022;20:15:00
297.1733204;03.01.2022;20:30:00
297.2433894;03.01.2022;20:45:00
291.523432;03.01.2022;21:00:00
296.4775891;03.01.2022;21:15:00
301.455382;03.01.2022;21:30:00
300.0794582;03.01.2022;21:45:00
302.6386852;03.01.2022;22:00:00
305.5853158;03.01.2022;22:15:00
307.1760602;03.01.2022;22:30:00
307.6397736;03.01.2022;22:45:00
309.3819267;03.01.2022;23:00:00
311.4701149;03.01.2022;23:15:00
311.1702117;03.01.2022;23:30:00
316.6496749;03.01.2022;23:45:00
326.7654889;04.01.2022;00:00:00
325.6602697;04.01.2022;00:15:00
323.4580715;04.01.2022;00:30:00
324.9993836;04.01.2022;00:45:00
321.4822528;04.01.2022;01:00:00
322.1996136;04.01.2022;01:15:00
327.7339358;04.01.2022;01:30:00
329.6859173;04.01.2022;01:45:00
321.8055181;04.01.2022;02:00:00
324.6055479;04.01.2022;02:15:00
327.6400119;04.01.2022;02:30:00
330.9898965;04.01.2022;02:45:00
338.9824373;04.01.2022;03:00:00
341.8581752;04.01.2022;03:15:00
343.8947451;04.01.2022;03:30:00
354.7476615;04.01.2022;03:45:00
364.8486213;04.01.2022;04:00:00
372.9220889;04.01.2022;04:15:00
376.6402652;04.01.2022;04:30:00
384.8456718;04.01.2022;04:45:00
389.5769721;04.01.2022;05:00:00
398.233869;04.01.2022;05:15:00
405.4241586;04.01.2022;05:30:00
413.7223599;04.01.2022;05:45:00
422.7562504;04.01.2022;06:00:00
435.8746748;04.01.2022;06:15:00
439.6162107;04.01.2022;06:30:00
443.8488533;04.01.2022;06:45:00
441.8023919;04.01.2022;07:00:00
450.4027842;04.01.2022;07:15:00
457.5467539;04.01.2022;07:30:00
452.3862688;04.01.2022;07:45:00
442.2285612;04.01.2022;08:00:00
445.4645488;04.01.2022;08:15:00
445.1563617;04.01.2022;08:30:00
449.1879255;04.01.2022;08:45:00
445.4000112;04.01.2022;09:00:00
447.2785444;04.01.2022;09:15:00
445.188655;04.01.2022;09:30:00
442.2233573;04.01.2022;09:45:00
435.7844267;04.01.2022;10:00:00
434.282461;04.01.2022;10:15:00
432.5534643;04.01.2022;10:30:00
435.5386101;04.01.2022;10:45:00
439.9484599;04.01.2022;11:00:00
439.6872234;04.01.2022;11:15:00
439.7397821;04.01.2022;11:30:00
439.1653224;04.01.2022;11:45:00
435.6040056;04.01.2022;12:00:00
435.3026272;04.01.2022;12:15:00
436.1481257;04.01.2022;12:30:00
437.6941401;04.01.2022;12:45:00
439.8120342;04.01.2022;13:00:00
437.9554703;04.01.2022;13:15:00
436.2815895;04.01.2022;13:30:00
435.4921652;04.01.2022;13:45:00
435.8285783;04.01.2022;14:00:00
439.9806326;04.01.2022;14:15:00
440.9078233;04.01.2022;14:30:00
439.0210466;04.01.2022;14:45:00
437.7153236;04.01.2022;15:00:00
435.6374029;04.01.2022;15:15:00
437.7044881;04.01.2022;15:30:00
439.2647193;04.01.2022;15:45:00
433.4258129;04.01.2022;16:00:00
430.4075981;04.01.2022;16:15:00
426.9754874;04.01.2022;16:30:00
420.6459372;04.01.2022;16:45:00
415.4870134;04.01.2022;17:00:00
412.8278265;04.01.2022;17:15:00
413.5697559;04.01.2022;17:30:00
412.44789;04.01.2022;17:45:00
411.4802215;04.01.2022;18:00:00
412.6909121;04.01.2022;18:15:00
414.7480107;04.01.2022;18:30:00
416.9665313;04.01.2022;18:45:00
419.3411518;04.01.2022;19:00:00
422.3374313;04.01.2022;19:15:00
418.5936231;04.01.2022;19:30:00
417.8388632;04.01.2022;19:45:00
411.5110881;04.01.2022;20:00:00
414.2102727;04.01.2022;20:15:00
415.1019604;04.01.2022;20:30:00
418.8496196;04.01.2022;20:45:00
417.1015417;04.01.2022;21:00:00
420.5150995;04.01.2022;21:15:00
423.2450691;04.01.2022;21:30:00
417.8013428;04.01.2022;21:45:00
414.5746805;04.01.2022;22:00:00
418.7226461;04.01.2022;22:15:00
421.6029425;04.01.2022;22:30:00
413.1172206;04.01.2022;22:45:00
412.0115198;04.01.2022;23:00:00
406.942058;04.01.2022;23:15:00
403.8295642;04.01.2022;23:30:00
397.4812805;04.01.2022;23:45:00
389.5350598;05.01.2022;00:00:00
383.188518;05.01.2022;00:15:00
374.2015086;05.01.2022;00:30:00
365.7566754;05.01.2022;00:45:00
355.7255172;05.01.2022;01:00:00
349.7383255;05.01.2022;01:15:00
343.4674006;05.01.2022;01:30:00
340.0079249;05.01.2022;01:45:00
330.9775362;05.01.2022;02:00:00
320.4629829;05.01.2022;02:15:00
314.0874733;05.01.2022;02:30:00
304.731594;05.01.2022;02:45:00
298.8868674;05.01.2022;03:00:00
293.1519885;05.01.2022;03:15:00
289.9743653;05.01.2022;03:30:00
287.9366062;05.01.2022;03:45:00
291.6750221;05.01.2022;04:00:00
294.9914124;05.01.2022;04:15:00
295.5414634;05.01.2022;04:30:00
296.8829514;05.01.2022;04:45:00
299.9747312;05.01.2022;05:00:00
303.4510942;05.01.2022;05:15:00
304.3842835;05.01.2022;05:30:00
305.4189001;05.01.2022;05:45:00
303.5436749;05.01.2022;06:00:00
312.9493874;05.01.2022;06:15:00
315.4296076;05.01.2022;06:30:00
316.8232389;05.01.2022;06:45:00
321.1530144;05.01.2022;07:00:00
320.9773531;05.01.2022;07:15:00
320.2556141;05.01.2022;07:30:00
317.5217321;05.01.2022;07:45:00
313.6013999;05.01.2022;08:00:00
310.7210982;05.01.2022;08:15:00
303.2425335;05.01.2022;08:30:00
297.7591937;05.01.2022;08:45:00
292.9298056;05.01.2022;09:00:00
292.8306687;05.01.2022;09:15:00
293.8703829;05.01.2022;09:30:00
291.826704;05.01.2022;09:45:00
285.2155905;05.01.2022;10:00:00
282.0758786;05.01.2022;10:15:00
278.272816;05.01.2022;10:30:00
274.6803261;05.01.2022;10:45:00
273.7388247;05.01.2022;11:00:00
273.3737989;05.01.2022;11:15:00
271.9560486;05.01.2022;11:30:00
267.2850904;05.01.2022;11:45:00
261.3720626;05.01.2022;12:00:00
259.8234627;05.01.2022;12:15:00
257.4268367;05.01.2022;12:30:00
256.7738836;05.01.2022;12:45:00
254.4963433;05.01.2022;13:00:00
252.2549378;05.01.2022;13:15:00
253.0529208;05.01.2022;13:30:00
254.5872975;05.01.2022;13:45:00
260.1815753;05.01.2022;14:00:00
263.0004115;05.01.2022;14:15:00
267.4690195;05.01.2022;14:30:00
271.4398624;05.01.2022;14:45:00
277.7780079;05.01.2022;15:00:00
280.6565689;05.01.2022;15:15:00
282.8315829;05.01.2022;15:30:00
283.6164955;05.01.2022;15:45:00
284.8430711;05.01.2022;16:00:00
289.8516227;05.01.2022;16:15:00
292.693423;05.01.2022;16:30:00
290.0837081;05.01.2022;16:45:00
291.9641873;05.01.2022;17:00:00
291.5140518;05.01.2022;17:15:00
291.5572419;05.01.2022;17:30:00
293.8280462;05.01.2022;17:45:00
299.1567549;05.01.2022;18:00:00
299.0997531;05.01.2022;18:15:00
